Local time,Open,High,Low,Close,Volume
20.09.2022 23:00:00.000 GMT+0200,3861.443,3907.746,3783.245,3788.254,290.1423
21.09.2022 23:00:00.000 GMT+0200,3779.537,3816.651,3748.733,3759.999,346.5692
22.09.2022 23:00:00.000 GMT+0200,3761.643,3768.452,3646.236,3693.851,309.33090000000004
23.09.2022 23:00:00.000 GMT+0200,3693.851,3693.851,3693.851,3693.851,0
24.09.2022 23:00:00.000 GMT+0200,3693.851,3693.851,3693.851,3693.851,0
25.09.2022 23:00:00.000 GMT+0200,3693.845,3715.999,3643.454,3652.848,417.5772
26.09.2022 23:00:00.000 GMT+0200,3653.642,3717.599,3621.742,3649.139,380.9574
27.09.2022 23:00:00.000 GMT+0200,3652.448,3737.097,3600.000,3720.742,475.18410000000006
28.09.2022 23:00:00.000 GMT+0200,3715.948,3721.299,3609.251,3643.442,429.01500000000004
29.09.2022 23:00:00.000 GMT+0200,3643.934,3680.212,3583.245,3599.462,207.85949999999997
30.09.2022 23:00:00.000 GMT+0200,3599.462,3599.462,3599.462,3599.462,0
01.10.2022 23:00:00.000 GMT+0200,3599.462,3599.462,3599.462,3599.462,0
02.10.2022 23:00:00.000 GMT+0200,3582.615,3698.520,3560.150,3682.515,76.09519999999999
03.10.2022 23:00:00.000 GMT+0200,3682.675,3795.331,3673.613,3788.878,63.157399999999996
04.10.2022 23:00:00.000 GMT+0200,3788.078,3807.011,3722.225,3789.762,54.56
05.10.2022 23:00:00.000 GMT+0200,3781.572,3805.598,3738.245,3742.305,66.7534
06.10.2022 23:00:00.000 GMT+0200,3730.863,3750.829,3620.410,3636.963,66.4501
07.10.2022 23:00:00.000 GMT+0200,3636.963,3636.963,3636.963,3636.963,0
08.10.2022 23:00:00.000 GMT+0200,3636.963,3636.963,3636.963,3636.963,0
09.10.2022 23:00:00.000 GMT+0200,3627.348,3655.726,3588.100,3613.982,67.80860000000001
10.10.2022 23:00:00.000 GMT+0200,3613.018,3640.895,3567.682,3590.480,89.4571
11.10.2022 23:00:00.000 GMT+0200,3594.828,3623.366,3573.918,3580.092,88.52430000000001
12.10.2022 23:00:00.000 GMT+0200,3583.272,3685.001,3489.693,3666.129,85.26889999999997
13.10.2022 23:00:00.000 GMT+0200,3667.812,3721.206,3580.180,3588.970,90.6579
14.10.2022 23:00:00.000 GMT+0200,3588.970,3588.970,3588.970,3588.970,0
15.10.2022 23:00:00.000 GMT+0200,3588.970,3588.970,3588.970,3588.970,0
16.10.2022 23:00:00.000 GMT+0200,3584.015,3690.336,3583.265,3683.708,60.664300000000004
17.10.2022 23:00:00.000 GMT+0200,3700.218,3765.035,3692.000,3734.306,66.0734
18.10.2022 23:00:00.000 GMT+0200,3747.568,3762.016,3665.940,3696.882,74.7763
19.10.2022 23:00:00.000 GMT+0200,3695.898,3736.600,3656.050,3671.441,80.12439999999998
20.10.2022 23:00:00.000 GMT+0200,3666.706,3757.939,3631.700,3754.019,87.92430000000002
